"video_id","start_time","channel_id","sentiment_pulled"
"R5_gVhTbMI8","2026-08-29 13:05:23.029442","UCxlNthtlYn3rWyjA1XCOLuw",FALSE
"3yfGOc5Aqh0","2026-08-29 13:05:23.029442","UCjYFwkKvItvRTZYTMQfbTUA",FALSE
"7SUq_cBadA8","2026-08-29 17:36:58.244888","UC1TWG3vZgFm-n6NpeKDx4jA",FALSE
"Ziv3xRNKD0g","2026-08-29 20:43:19.348119","UCjYFwkKvItvRTZYTMQfbTUA",FALSE
"1YiRGgBfefQ","2026-08-30 10:24:21.818817","UCxlNthtlYn3rWyjA1XCOLuw",FALSE
"K1iI9zzaUeE","2026-08-30 10:24:21.818817","UCAvBGwk6yKYhXDDoXXXIeog",FALSE
"IT4bhJJWuW4","2026-08-30 15:16:34.734576","UCEYKSLqhk9HsOd68T2jKbbQ",FALSE
"QlU9gtahQJM","2026-08-30 19:13:00.473797","UC7OjdmWesJHZiqZwxeljkYQ",FALSE
"5IRVj86YdDc","2026-08-30 19:13:00.473797","UC2IpSjwGIQ1IMUHF6e-gmVw",FALSE
"6QsedHMNQZ8","2026-08-30 19:13:00.473797","UC0QkdbSQlLB3yuvVg6Ga7eg",FALSE
"mCYcrtZmBro","2026-08-30 22:33:38.141878","UC98oVGbwlYH7DUSx1TwcVnw",TRUE
"fPCVLXDORRI","2026-08-30 22:33:38.141878","UCBH1KZx6fkN2oDL46VL7-lQ",TRUE
"_OZSVpHQy98","2026-08-31 01:14:44.815875","UCYxE-PBo06P035AxeZdQm4w",FALSE
"5grrrK8NNXg","2026-08-31 01:14:44.815875","UCjYFwkKvItvRTZYTMQfbTUA",TRUE
"EKA17Sz-x8Q","2026-08-31 16:54:59.493208","UCfpjvePaHFyif-E7EEh-3tg",TRUE
"6eU2fMDvE58","2026-08-31 16:54:59.493208","UC98oVGbwlYH7DUSx1TwcVnw",TRUE
"9C6lV2SAJuk","2026-08-31 21:50:25.026303","UCjYFwkKvItvRTZYTMQfbTUA",FALSE
"YcSZbtt4AOI","2026-09-01 01:08:03.213572","UCfpjvePaHFyif-E7EEh-3tg",FALSE
"OUKCSylZ7iI","2026-09-01 13:21:46.112546","UCAMl62VX7wwiL80MhgBo8ew",TRUE
"J5u4oJmZ7VQ","2026-09-01 17:44:29.734417","UCjYFwkKvItvRTZYTMQfbTUA",TRUE
"x9ymTwrltVU","2026-09-01 17:44:29.734417","UCJ0cTCw8QxUB0U2lFtjpaEQ",TRUE
"s_kzbcrnKlI","2026-09-01 20:49:30.843441","UC98oVGbwlYH7DUSx1TwcVnw",TRUE
"aCKVHO3-TFo","2026-09-01 20:49:30.843441","UC79hvLewinJiByC0NyWBTBQ",TRUE
"1R2bjnaKziE","2026-09-01 20:49:30.843441","UCjYFwkKvItvRTZYTMQfbTUA",TRUE
"SaWn-kXs7cE","2026-09-02 08:38:17.739055","UCKAsDhlUnVEF5bGVC98kdtw",TRUE
"4ThJSIzevF4","2026-09-02 13:27:01.353082","UCAMl62VX7wwiL80MhgBo8ew",TRUE
"BsEELhO_3Hs","2026-09-02 17:46:53.226973","UCjYFwkKvItvRTZYTMQfbTUA",TRUE
"UG1Yf_53kcA","2026-09-02 17:46:53.226973","UCWjue041KSU7Tu_PX8KkWQw",TRUE
"G_MAd0kBEv8","2026-09-02 20:48:58.517224","UC98oVGbwlYH7DUSx1TwcVnw",TRUE
"NBdW3ZIMo2w","2026-09-03 13:25:52.609166","UCCv-2IH7-YazDLVZ7BEIhkg",TRUE
"wiWfriP7yHA","2026-09-03 20:46:32.644998","UC98oVGbwlYH7DUSx1TwcVnw",TRUE
"vBt9D0Fjqr8","2026-09-03 20:46:32.644998","UCjYFwkKvItvRTZYTMQfbTUA",TRUE
"5fP96A4zyKg","2026-09-03 20:46:32.644998","UC4zSeC2mJb1mQd1XGk4wjmw",TRUE
"9KJNEeahGBU","2026-09-04 08:42:03.502391","UCmzlU-Rtdz2tV1dI7KQvTxw",FALSE
"Xn7_53zh-Co","2026-09-04 08:42:03.502391","UCWjue041KSU7Tu_PX8KkWQw",FALSE
"2mJJkBenmQA","2026-09-05 10:17:09.837338","UCQX71aFdT5EBlf-KXOLXATA",FALSE
