"video_id","channel_id","start_date"
"QlU9gtahQJM","UC7OjdmWesJHZiqZwxeljkYQ",2026-03-26
"5IRVj86YdDc","UC2IpSjwGIQ1IMUHF6e-gmVw",2026-03-26
"6QsedHMNQZ8","UC0QkdbSQlLB3yuvVg6Ga7eg",2026-03-26
"q388YcfuFww","UCCv-2IH7-YazDLVZ7BEIhkg",2026-03-26
"qRR1M3EdGCI","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-26
"XkNS-5uCziU","UC4zSeC2mJb1mQd1XGk4wjmw",2026-03-26
"_OZSVpHQy98","UCYxE-PBo06P035AxeZdQm4w",2026-03-26
"Qzev_UOu_9E","UC4zSeC2mJb1mQd1XGk4wjmw",2026-03-27
"HGVQu8GGOYU","UCBH1KZx6fkN2oDL46VL7-lQ",2026-03-27
"Q3UM-Wj5gec","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-27
"jYUZExjSHB8","UCxlNthtlYn3rWyjA1XCOLuw",2026-03-27
"UBuGr2W84v0","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-28
"Cldomhbu0nI","UC4zSeC2mJb1mQd1XGk4wjmw",2026-03-28
"cgGldxEBmIo","UCAvBGwk6yKYhXDDoXXXIeog",2026-03-28
"b5R1mHYihk0","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-28
"QOLlWsZyXVY","UCQX71aFdT5EBlf-KXOLXATA",2026-03-28
"i4-9-L1E1GQ","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-28
"b5HUdBXcZjg","UCWjue041KSU7Tu_PX8KkWQw",2026-03-28
"YzWHP73Vn7o","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-28
"AVDs1TdR4bU","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-28
"ZAG-T-0-gtE","UCxjwhABqs97sfYrDqGo4Exw",2026-03-28
"SaWn-kXs7cE","UCKAsDhlUnVEF5bGVC98kdtw",2026-03-28
"HQhEHfl9iJ0","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-29
"mabafyuuhEU","UCEYKSLqhk9HsOd68T2jKbbQ",2026-03-29
"g7fWds-HEXU","UCmzlU-Rtdz2tV1dI7KQvTxw",2026-03-29
"eP1q6S3Ol6I","UCAMl62VX7wwiL80MhgBo8ew",2026-03-29
"0mDf1jWXP48","UC4zSeC2mJb1mQd1XGk4wjmw",2026-03-29
"tYVRck7KoEI","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-30
"ChBhca9NP50","UCCv-2IH7-YazDLVZ7BEIhkg",2026-03-30
"DfAtxtCQTz0","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-30
"xKnszwz4Q9U","UCxlNthtlYn3rWyjA1XCOLuw",2026-03-30
"geR3qGOlOxc","UCAvBGwk6yKYhXDDoXXXIeog",2026-03-30
"10kweV8Ix4k","UC98oVGbwlYH7DUSx1TwcVnw",2026-03-30
"WxF2w47MZnw","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-31
"u5uHu_LRjlM","UCAMl62VX7wwiL80MhgBo8ew",2026-03-31
"dElwUZR1l38","UCxlNthtlYn3rWyjA1XCOLuw",2026-03-31
"6D_xu7vgb4A","UCEYKSLqhk9HsOd68T2jKbbQ",2026-03-31
"xqVwaT-h2gE","UCCv-2IH7-YazDLVZ7BEIhkg",2026-03-31
"xr5ckd81USU","UCfpjvePaHFyif-E7EEh-3tg",2026-03-31
"YhBYenyF2Kk","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-31
"1DnFkOR0rKE","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-31
"jwGBuG6kJBc","UCWjue041KSU7Tu_PX8KkWQw",2026-03-31
"1fdJQzKTKXI","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-31
"MQinTg-j-Qg","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-04-01
"bCJxF-bT8yI","UCjYFwkKvItvRTZYTMQfbTUA",2026-04-01
"vIolsSEi_84","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-04-01
"bha6sN7SjrU","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-04-01
"9KKBnQvf-lo","UC4zSeC2mJb1mQd1XGk4wjmw",2026-04-01
"5zIq1VY_n4s","UC79hvLewinJiByC0NyWBTBQ",2026-04-01
"P7PVMsvuH8Q","UCxjwhABqs97sfYrDqGo4Exw",2026-04-02
"z8Iy8MroL2c","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-26
"cu0HmShYI4g","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-26
"YEYaL6V0RHo","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-25
"RKdmMKhIqjE","UCAMl62VX7wwiL80MhgBo8ew",2026-03-25
"AukhYzE6_ng","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-25
"WtNe0FrFWpQ","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-24
"Wc2MJS_mTMo","UC4zSeC2mJb1mQd1XGk4wjmw",2026-03-24
"Eui3uiBletE","UCCv-2IH7-YazDLVZ7BEIhkg",2026-03-24
"kQWns4DKQU4","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-24
"aZ_DzXuV4I8","UCBH1KZx6fkN2oDL46VL7-lQ",2026-03-24
"PHBZh7fJEZQ","UCWjue041KSU7Tu_PX8KkWQw",2026-03-24
"kaGjx8KQeas","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-24
"_UjqxP773l4","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-23
"KvF21o3KZqg","UCWjue041KSU7Tu_PX8KkWQw",2026-03-23
"g97E0EkC7aU","UCCv-2IH7-YazDLVZ7BEIhkg",2026-03-23
"lnL9hncUYu8","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-23
"AGpWFGLpVxk","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-23
"d9_-iCXoiWw","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-22
"pbbQ5rUBzqg","UCCv-2IH7-YazDLVZ7BEIhkg",2026-03-22
"hlh9O-PUi30","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-22
"HkNiVheL-1Y","UCxlNthtlYn3rWyjA1XCOLuw",2026-03-22
"sc9nMK0bysY","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-22
"K7An7qxSm4o","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-21
"0aZPY4iYVXg","UCCv-2IH7-YazDLVZ7BEIhkg",2026-03-21
"aemE2TsoJrw","UC4zSeC2mJb1mQd1XGk4wjmw",2026-03-21
"JgCcuKDgi9Q","UCxlNthtlYn3rWyjA1XCOLuw",2026-03-21
"WVGnv9FQ4ic","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-21
"7AZeWnq7ZUw","UCWjue041KSU7Tu_PX8KkWQw",2026-03-20
"2dR5s6Vy5CY","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-20
"OpfocVb87p0","UCCv-2IH7-YazDLVZ7BEIhkg",2026-03-20
"GAwsLXWb7EI","UCxlNthtlYn3rWyjA1XCOLuw",2026-03-20
"Xc3aH-uqbUk","UCAMl62VX7wwiL80MhgBo8ew",2026-03-20
